,brand,model,variant,price,year,mileage,transmission,fuel,colour
1,,C4,C4 Sense Plus,"26,530",2021,"2,282.0",Automatic,Diesel,Metallic - Obsidian black
2,,C4,C4 Sense Plus,"22,999","1,130.0 miles",1.5,Diesel,5,Unknown
3,,C4,C4 Shine,"19,430",2021,"14,811.0",Manual,Petrol,Premium metallic - Elixir red
4,,C4,C4 Shine,"20,186",2021,"7,325.0",Manual,Petrol,Metallic - Perla nera black
5,,C4,C4 Sense Plus,"21,737",2021,"4,376.0",Automatic,Diesel,Metallic - Obsidian black
6,,C4,C4 Shine Plus,"23,760",2021,"3,000.0",Automatic,Petrol,Metallic - Iceland blue
7,,C4,C4 Shine,"20,633",2021,"8,111.0",Manual,Petrol,Unknown
8,,C4,C4 Sense Plus,"21,966",2021,420.0,Automatic,Diesel,Metallic - Obsidian black
9,,C4,C4 Shine,"20,777",2021,"8,587.0",Manual,Petrol,Metallic - Perla nera black
10,,C4,C4 Sense Plus,"20,000",2021,"3,500.0",Manual,Petrol,Unknown
11,,C4,C4 Shine Plus,"26,995",Brand new,1.5,Diesel,5,Unknown
12,,C4,C4 Shine Plus,"22,965",2021,"7,451.0",Automatic,Diesel,Metallic - Cumulus grey
13,,C4,C4 Sense Plus,"26,530",2021,"2,282.0",Automatic,Diesel,Metallic - Obsidian black
