,brand,model,variant,price,year,mileage,transmission,fuel,colour
54,,C3,C3 Shine Plus,"16,999",747.0 miles,1.2,Petrol,5,Unknown
55,,C3,C3 Flair Plus,"15,940",2020,"18,578.0",Automatic,Petrol,Special solid - Polar white
56,,C3,C3 Shine Plus,"18,490",2021,"2,000.0",Automatic,Petrol,Unknown
57,,C3,C3 Sense,"12,839",2021,"6,867.0",Manual,Petrol,Premium metallic - Elixir red
58,,C3,C3 Shine Plus,"16,701",2021,"1,120.0",Manual,Petrol,Special solid - Polar white
59,,C3,C3 Shine,"18,444",2021,"4,258.0",Automatic,Petrol,Special solid - Polar white
0,,C3 (2009-2016),C3 Edition,"7,099","45,770.0 miles",1.2,Petrol,5,Unknown
1,,C3 (2009-2016),C3 Exclusive,"9,495","17,125.0 miles",1.6,Petrol,5,Unknown
0,,C4 (2011-2018),C4 Flair,"7,499","46,020.0 miles",1.6,Diesel,5,Unknown
1,,C4 (2011-2018),C4 Feel,"7,995","20,023.0 miles",1.2,Petrol,5,Unknown
0,,C4 Cactus (2014-2017),C4 Cactus Feel,"8,899","42,559.0 miles",1.2,Petrol,5,Unknown
1,,C4 Cactus (2014-2017),C4 Cactus Flair,"12,799","7,945.0 miles",1.2,Petrol,5,Unknown
2,,C4 Cactus (2014-2017),C4 Cactus Flair,"11,200",2018,"20,000.0",Manual,Petrol,Metallic - Arctic steel
3,,C4 Cactus (2014-2017),C4 Cactus Feel,"9,865",2018,"30,000.0",Manual,Petrol,Special solid - Polar white
4,,C4 Cactus (2014-2017),C4 Cactus Flair,"10,873",2018,"27,135.0",Manual,Diesel,Metallic - Arctic steel
5,,C4 Cactus (2014-2017),C4 Cactus Flair,"7,995","62,246.0 miles",1.2,Petrol,5,Unknown
6,,C4 Cactus (2014-2017),C4 Cactus Flair,"14,995","11,891.0 miles",1.2,Petrol,5,Unknown
7,,C4 Cactus (2014-2017),C4 Cactus Feel,"7,995","64,817.0 miles",1.6,Diesel,5,Unknown
8,,C4 Cactus (2014-2017),C4 Cactus Flair,"8,995","58,369.0 miles",1.2,Petrol,5,Unknown
9,,C4 Cactus (2014-2017),C4 Cactus Feel,"8,899","42,559.0 miles",1.2,Petrol,5,Unknown
10,,C4 Cactus (2014-2017),C4 Cactus Flair,"12,799","7,945.0 miles",1.2,Petrol,5,Unknown
11,,C4 Cactus (2014-2017),C4 Cactus Flair,"11,200",2018,"20,000.0",Manual,Petrol,Metallic - Arctic steel
12,,C4 Cactus (2014-2017),C4 Cactus Feel,"9,865",2018,"30,000.0",Manual,Petrol,Special solid - Polar white
